Celebrity,Birthday
Aamir Khan ,14-Mar
Aarti Chabria ,21-Nov
Abhishekh Bachchan ,11-Feb
Aditya Pancholi ,04-Jan
Aftab Shivdasani ,25-Jun
Aishwarya Rai ,01-Nov
Ajay Devgun ,02-Apr
Akshay Kumar ,09-Sep
Amisha Patel ,09-Jun
Amitabh Bachchan ,11-Oct
Amrita Arora ,31-Jan
Anil Kapoor ,24-Dec
Anupam Kher ,07-Mar
Aparna Sen ,25-Oct
Arbaaz Khan ,04-Aug
Arshad Warsi ,19-Apr
Aruna Irani ,18-Aug
Aryan Vaid ,04-Jul
Asha Bhosle ,08-Sep
Asha Parekh ,02-Oct
Atul Agnihotri ,08-Jul
Ayub Khan ,23-Feb
Bipasha Basu ,07-Jan
Bobby Deol ,27-Jan
Chunky Pandey ,26-Sep
Dara Singh ,19-Nov
Dev Anand ,26-Sep
Deepika Padukone ,05-Jan
Dharmendra ,08-Dec
Dilip Kumar ,11-Dec
Dimple Kapadia ,19-Aug
Divya Dutta ,25-Sep
Emraan Hashmi ,24-Mar
Esha Deol ,02-Nov
Fardeen Khan ,08-Mar
Genelia DÕSouza ,05-Aug
Govinda ,21-Dec
Helen ,21-Nov
Hema Malini ,16-Oct
Hrithik Roshan ,10-Jan
Imran Khan ,13-Jan
Irfan Khan ,07-Jan
Jackie Shroff ,01-Feb
Jimmy Shergill ,03-Dec
John Abraham ,17-Dec
Juhi Chawla ,13-Nov
Kader Khan ,22-Oct
Kajol Devgun ,05-Aug
Kamal Hassan ,07-Nov
Kareena Kapoor ,21-Sep
Karisma Kapoor ,25-Jun
Katrina Kaif ,16-Jul
Kim Sharma ,21-Jan
Konkana Sen Sharma ,03-Dec
Lisa Ray ,10-Jan
Madhoo ,26-Mar
Madhuri Dixit ,15-May
Mahima Choudhary ,13-Sep
Mala Sinha ,11-Nov
Malaika Arora Khan ,23-Oct
Mamta Kulkarni ,23-Mar
Manisha Koirala ,16-Aug
Manoj Kumar,24-Jul
Meenakshi Sheshadri ,16-Nov
Mithun Chakravorty ,16-Jun
Moushami Chatterjee ,26-Apr
Namrata Shirodkar ,22-Jan
Nana Patekar ,19-Jan
Naseerudin Shah ,28-Jul
Neelam Kothari ,09-Nov
Om Puri ,18-Oct
Paresh Rawal ,30-May
Pooja Bedi ,11-May
Pooja Bhatt ,24-Feb
Pran ,12-Feb
Preeti Jhangiani ,18-Aug
Preity Zinta ,31-Jan
Priyanka Chopra ,18-Jul
Puru Raj Kumar ,30-Mar
Rageshwari ,25-Jul
Rahul Roy ,09-Feb
Raj Babbar ,23-Jun
Raj Kumar Kohli ,14-Sep
Rajendra Kumar ,20-Jul
Rajesh Khanna ,29-Dec
RajniKanth ,12-Dec
Rakesh Roshan ,06-Sep
Rakhee ,15-Aug
Ranbir Kapoor ,28-Sep
Randhir Kapoor ,15-Feb
Rani Mukherjee ,21-Mar
Ranveer Singh ,06-Jul
Raveena Tandon ,26-Oct
Reema Sen ,29-Oct
Reena Roy ,07-Jan
Rekha ,10-Oct
Rishi Kapoor ,04-Sep
Ritesh Deshmukh ,17-Dec
Saif Ali Khan ,16-Aug
Saira Banoo ,18-Aug
Salman Khan ,27-Dec
Sandali Sinha ,11-Jan
Sanjay Dutt ,29-Jul
Sanjay Kapoor ,17-Oct
Sanjay Khan ,03-Jan
Shabana Azmi ,18-Sep
Shahrukh Khan ,02-Nov
Shahid Kapoor ,25-Feb
Shakti Kapoor ,03-Sep
Shamita Shetty ,02-Feb
Shammi Kapoor,21-Oct
Shashi Kapoor ,18-Mar
Shatrughan Sinha ,09-Dec
Shilpa Shetty ,08-Jun
Shilpa Shirodkar ,20-Nov
Shreyas Talpade ,27-Jan
Sonali Bendre ,01-Jan
Sonam Kapoor ,09-Jun
Sridevi ,13-Aug
Sunil Dutt ,06-Jun
Sunil Shetty ,11-Aug
Sunny Deol ,14-Oct
Tabu ,11-Apr
Tanuja ,23-Sep
Twinkle Khanna ,29-Dec
Uday Chopra ,19-Jan
Urmila Matondkar ,04-Feb
Vidya Balan ,01-Jan
Vinod Khanna ,06-Oct
Vivek oberoi ,03-Sep
Vyajantimala ,31-Aug
Waheeda Rehman ,03-Feb
Zeenat Aman ,19-Nov
